population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,5,Prevalence,62,Russian Federation,1,Male,9,20-24 years,558,Mental disorders,2,Percent,2021,0.1217112931843605,0.1403423702854706,0.1051601721111515
1,All Population,5,Prevalence,62,Russian Federation,2,Female,9,20-24 years,558,Mental disorders,2,Percent,2021,0.1383371679289919,0.1610186567387557,0.1194392287945707
1,All Population,5,Prevalence,62,Russian Federation,1,Male,10,25-29 years,558,Mental disorders,2,Percent,2021,0.1210277858975045,0.1377929241184414,0.1054158784259594
1,All Population,5,Prevalence,62,Russian Federation,2,Female,10,25-29 years,558,Mental disorders,2,Percent,2021,0.1403792589478009,0.1624843498252445,0.1219268001618695
1,All Population,5,Prevalence,62,Russian Federation,1,Male,11,30-34 years,558,Mental disorders,2,Percent,2021,0.1237546714995171,0.1395919053703063,0.1088902363770311
1,All Population,5,Prevalence,62,Russian Federation,2,Female,11,30-34 years,558,Mental disorders,2,Percent,2021,0.1442831790246519,0.1675197212290737,0.127033645324277
1,All Population,5,Prevalence,62,Russian Federation,1,Male,12,35-39 years,558,Mental disorders,2,Percent,2021,0.1249655768314109,0.1404821024800342,0.1108740024574652
1,All Population,5,Prevalence,62,Russian Federation,2,Female,12,35-39 years,558,Mental disorders,2,Percent,2021,0.1469435556330575,0.164658256645526,0.1294217943973104
1,All Population,5,Prevalence,62,Russian Federation,1,Male,13,40-44 years,558,Mental disorders,2,Percent,2021,0.1246671222797125,0.1390918254192714,0.1112481896393199
1,All Population,5,Prevalence,62,Russian Federation,2,Female,13,40-44 years,558,Mental disorders,2,Percent,2021,0.1482612847000088,0.1669865455575306,0.1314342848391293
1,All Population,5,Prevalence,62,Russian Federation,1,Male,14,45-49 years,558,Mental disorders,2,Percent,2021,0.1237228124450365,0.1397431154200301,0.110735769921881
1,All Population,5,Prevalence,62,Russian Federation,2,Female,14,45-49 years,558,Mental disorders,2,Percent,2021,0.1485438014018837,0.1681515972379647,0.1313947467244714
1,All Population,5,Prevalence,62,Russian Federation,1,Male,15,50-54 years,558,Mental disorders,2,Percent,2021,0.122343116822762,0.1386368364756941,0.1089064667617252
1,All Population,5,Prevalence,62,Russian Federation,2,Female,15,50-54 years,558,Mental disorders,2,Percent,2021,0.1489865695880844,0.1718628444314257,0.1308239228262422
1,All Population,5,Prevalence,62,Russian Federation,1,Male,16,55-59 years,558,Mental disorders,2,Percent,2021,0.1206443157667924,0.1368278378864339,0.1070237730515182
1,All Population,5,Prevalence,62,Russian Federation,2,Female,16,55-59 years,558,Mental disorders,2,Percent,2021,0.1483233872697313,0.1671425321100584,0.1301160904561419
1,All Population,5,Prevalence,62,Russian Federation,1,Male,17,60-64 years,558,Mental disorders,2,Percent,2021,0.1189729100922325,0.1347814740174197,0.1056683589114783
1,All Population,5,Prevalence,62,Russian Federation,2,Female,17,60-64 years,558,Mental disorders,2,Percent,2021,0.1482306677662686,0.1701479457416983,0.1296249397503357
1,All Population,5,Prevalence,62,Russian Federation,1,Male,18,65-69 years,558,Mental disorders,2,Percent,2021,0.1178325683608356,0.1335758723143723,0.1051497067409986
1,All Population,5,Prevalence,62,Russian Federation,2,Female,18,65-69 years,558,Mental disorders,2,Percent,2021,0.1488464554249459,0.1697090783805472,0.131979628921231
1,All Population,5,Prevalence,62,Russian Federation,1,Male,19,70-74 years,558,Mental disorders,2,Percent,2021,0.1162929908551207,0.1311418647318989,0.103836890042368
1,All Population,5,Prevalence,62,Russian Federation,2,Female,19,70-74 years,558,Mental disorders,2,Percent,2021,0.147495027957094,0.1699023947829748,0.1303571330832684
1,All Population,5,Prevalence,62,Russian Federation,1,Male,20,75-79 years,558,Mental disorders,2,Percent,2021,0.1145014507228733,0.1308014802974656,0.1018312798696207
1,All Population,5,Prevalence,62,Russian Federation,2,Female,20,75-79 years,558,Mental disorders,2,Percent,2021,0.145895604544658,0.1720051301698353,0.1278298941973451
1,All Population,5,Prevalence,62,Russian Federation,1,Male,30,80-84 years,558,Mental disorders,2,Percent,2021,0.1129483399014392,0.1293103345533708,0.1000724421709469
1,All Population,5,Prevalence,62,Russian Federation,2,Female,30,80-84 years,558,Mental disorders,2,Percent,2021,0.1440836626835971,0.1714327449088801,0.1246180143521776
1,All Population,5,Prevalence,62,Russian Federation,1,Male,31,85-89 years,558,Mental disorders,2,Percent,2021,0.1127354906802634,0.1315533776928309,0.0995688307985654
1,All Population,5,Prevalence,62,Russian Federation,2,Female,31,85-89 years,558,Mental disorders,2,Percent,2021,0.1442534977973199,0.1695630797987278,0.1247907505404601
1,All Population,5,Prevalence,62,Russian Federation,1,Male,32,90-94 years,558,Mental disorders,2,Percent,2021,0.1141782334952345,0.1315937536626036,0.099739849938228
1,All Population,5,Prevalence,62,Russian Federation,2,Female,32,90-94 years,558,Mental disorders,2,Percent,2021,0.1460996377339511,0.1699739089365572,0.1247731522011276
1,All Population,5,Prevalence,62,Russian Federation,1,Male,235,95+ years,558,Mental disorders,2,Percent,2021,0.1172306405700776,0.1347562389239981,0.1018265352182932
1,All Population,5,Prevalence,62,Russian Federation,2,Female,235,95+ years,558,Mental disorders,2,Percent,2021,0.1495272836249352,0.1728866889112695,0.1275674418027234
1,All Population,5,Prevalence,75,Austria,1,Male,1,<5 years,558,Mental disorders,2,Percent,2021,0.0459707472089438,0.0708268932224164,0.0293029273348685
1,All Population,5,Prevalence,75,Austria,2,Female,1,<5 years,558,Mental disorders,2,Percent,2021,0.021580125252527,0.0365182057157187,0.0133186399171462
